mayonnaise,5
california,28
flooded,1
historic,1
significance,1
runs,11
exploiting,1
preserving,1
building,26
hipster,12
appears,4
trodden,1
troll,1
works,25
biggest,18
slams,2
menus,37
groups,43
list,58
names,8
describe,14
smallest,8
work,105
ruined,12
suggests,1
overpriced,55
lacklustre,3
waitresses,9
acknowledging,1
message,8
ventured,2
parched,2
desperately,3
refill,8
regards,4
subway,5
acknowledgement,4
noone,1
lukewarm,15
gluten,29
eclectic,22
theory,1
delivered,26
lacks,12
plentiful,17
spacious,25
lemonade,14
zen,7
arranged,3
shade,7
chair,9
recreated,1
collection,4
furniture,2
wall,71
art,20
paint,4
pulled,116
bin,4
master,11
evenings,8
surrounded,11
lit,13
throughout,17
trees,7
milkshakes,5
fail,14
months,32
steadily,1
manages,2
rely,2
hippyboho,1
originals,1
unusual,20
combinations,10
construction,1
mental,1
youl,1
dairy,10
ingredient,13
pate,4
gazpacho,11
toasted,7
hubster,1
underwhelming,10
situations,1
pulls,4
appealing,22
tuna,35
shaded,1
chill,18
drinking,12
waitstaff,19
napkins,9
jump,1
tldr,6
pintresters,1
dream,7
laptop,3
zone,1
koi,2
music,76
indie,2
substitute,13
bacon,6
substituted,2
almond,12
velvety,1
smooth,12
delightful,36
craving,88
chia,3
pudding,5
fell,26
